P	w[0]=向	w[1]=朋友	pos[0]=P	pos[1]=N	__BOS__
FW	w[-1]=Clemson	w[0]=University	w[1]=）	pos[-1]=FW	pos[0]=FW	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=University	w[0]=）	w[1]=的	pos[-1]=FW	pos[0]=PARENTHESISCATEGORY	pos[1]=T
T	w[-1]=）	w[0]=的	w[1]=研究	pos[-1]=PARENTHESISCATEGORY	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=研究	w[1]=顯示	pos[-1]=T	pos[0]=Nv	pos[1]=Vt
Vt	w[-1]=研究	w[0]=顯示	w[1]=如果	pos[-1]=Nv	pos[0]=Vt	pos[1]=C
C	w[-1]=顯示	w[0]=如果	w[1]=你	pos[-1]=Vt	pos[0]=C	pos[1]=N
N	w[-1]=如果	w[0]=你	w[1]=的	pos[-1]=C	pos[0]=N	pos[1]=T
T	w[-1]=你	w[0]=的	w[1]=抱怨	pos[-1]=N	pos[0]=T	pos[1]=Vt
Vt	w[-1]=的	w[0]=抱怨	w[1]=多半	pos[-1]=T	pos[0]=Vt	pos[1]=DET
DET	w[-1]=抱怨	w[0]=多半	w[1]=屬於	pos[-1]=Vt	pos[0]=DET	pos[1]=Vt
Vt	w[-1]=多半	w[0]=屬於	w[1]=「	pos[-1]=DET	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=屬於	w[0]=「	w[1]=工具型	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=工具型	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=工具型	w[0]=」	w[1]=，	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=」	w[0]=，	w[1]=那麼	pos[-1]=PARENTHESISCATEGORY	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=那麼	w[1]=恭喜	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=那麼	w[0]=恭喜	w[1]=你	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=恭喜	w[0]=你	w[1]=，	pos[-1]=Vt	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=你	w[0]=，	w[1]=因為	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=因為	w[1]=你	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=因為	w[0]=你	w[1]=擁有	pos[-1]=C	pos[0]=N	pos[1]=Vt
Vt	w[-1]=你	w[0]=擁有	w[1]=較	pos[-1]=N	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=擁有	w[0]=較	w[1]=高	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=較	w[0]=高	w[1]=的	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=高	w[0]=的	w[1]=自尊心	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=自尊心	w[1]=！	pos[-1]=T	pos[0]=N	pos[1]=EXCLAMATIONCATEGORY
EXCLAMATIONCATEGORY	w[-1]=自尊心	w[0]=！	w[1]=如果	pos[-1]=N	pos[0]=EXCLAMATIONCATEGORY	pos[1]=C
C	w[-1]=！	w[0]=如果	w[1]=你	pos[-1]=EXCLAMATIONCATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=如果	w[0]=你	w[1]=是	pos[-1]=C	pos[0]=N	pos[1]=Vt
Vt	w[-1]=你	w[0]=是	w[1]=屬於	pos[-1]=N	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=是	w[0]=屬於	w[1]=「	pos[-1]=Vt	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=屬於	w[0]=「	w[1]=表達型	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=表達型	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=表達型	w[0]=」	w[1]=的	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=T
T	w[-1]=」	w[0]=的	w[1]=抱怨	pos[-1]=PARENTHESISCATEGORY	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=抱怨	w[1]=者	pos[-1]=T	pos[0]=Nv	pos[1]=N
N	w[-1]=抱怨	w[0]=者	w[1]=的	pos[-1]=Nv	pos[0]=N	pos[1]=T
T	w[-1]=者	w[0]=的	w[1]=話	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=話	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=話	w[0]=，	w[1]=你	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=你	w[1]=的	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=T
T	w[-1]=你	w[0]=的	w[1]=自尊心	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=自尊心	w[1]=比較	pos[-1]=T	pos[0]=N	pos[1]=ADV
ADV	w[-1]=自尊心	w[0]=比較	w[1]=低	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=比較	w[0]=低	w[1]=，	pos[-1]=ADV	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=低	w[0]=，	w[1]=而且	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=而且	w[1]=你	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=而且	w[0]=你	w[1]=可能	pos[-1]=C	pos[0]=N	pos[1]=ADV
ADV	w[-1]=你	w[0]=可能	w[1]=會	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=可能	w[0]=會	w[1]=對	pos[-1]=ADV	pos[0]=ADV	pos[1]=P
P	w[-1]=會	w[0]=對	w[1]=這	pos[-1]=ADV	pos[0]=P	pos[1]=DET
DET	w[-1]=對	w[0]=這	w[1]=篇	pos[-1]=P	pos[0]=DET	pos[1]=M
M	w[-1]=這	w[0]=篇	w[1]=文章	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=篇	w[0]=文章	w[1]=感到	pos[-1]=M	pos[0]=N	pos[1]=Vt
Vt	w[-1]=文章	w[0]=感到	w[1]=生氣	pos[-1]=N	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=感到	w[0]=生氣	w[1]=。	pos[-1]=Vt	pos[0]=Vi	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=生氣	w[0]=。	w[1]=或許	pos[-1]=Vi	pos[0]=PERIODCATEGORY	pos[1]=ADV	__EOS__
ADV	w[-1]=。	w[0]=或許	w[1]=你	pos[-1]=PERIODCATEGORY	pos[0]=ADV	pos[1]=N
N	w[-1]=或許	w[0]=你	w[1]=現在	pos[-1]=ADV	pos[0]=N	pos[1]=N
N	w[-1]=你	w[0]=現在	w[1]=最	pos[-1]=N	pos[0]=N	pos[1]=ADV
ADV	w[-1]=現在	w[0]=最	w[1]=想要	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=最	w[0]=想要	w[1]=作	pos[-1]=ADV	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=想要	w[0]=作	w[1]=的	pos[-1]=Vt	pos[0]=Vt	pos[1]=T
T	w[-1]=作	w[0]=的	w[1]=事情	pos[-1]=Vt	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=事情	w[1]=就是	pos[-1]=T	pos[0]=N	pos[1]=C
C	w[-1]=事情	w[0]=就是	w[1]=隨便	pos[-1]=N	pos[0]=C	pos[1]=Vi
Vi	w[-1]=就是	w[0]=隨便	w[1]=找	pos[-1]=C	pos[0]=Vi	pos[1]=Vt
Vt	w[-1]=隨便	w[0]=找	w[1]=個	pos[-1]=Vi	pos[0]=Vt	pos[1]=M
M	w[-1]=找	w[0]=個	w[1]=倒楣鬼	pos[-1]=Vt	pos[0]=M	pos[1]=N
N	w[-1]=個	w[0]=倒楣鬼	w[1]=，	pos[-1]=M	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=倒楣鬼	w[0]=，	w[1]=臭罵	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=臭罵	w[1]=他	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=N
N	w[-1]=臭罵	w[0]=他	w[1]=兩	pos[-1]=Vt	pos[0]=N	pos[1]=DET
DET	w[-1]=他	w[0]=兩	w[1]=句	pos[-1]=N	pos[0]=DET	pos[1]=M
M	w[-1]=兩	w[0]=句	w[1]=之後	pos[-1]=DET	pos[0]=M	pos[1]=POST
POST	w[-1]=句	w[0]=之後	w[1]=，	pos[-1]=M	pos[0]=POST	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=之後	w[0]=，	w[1]=你	pos[-1]=POST	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=你	w[1]=就	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=ADV
ADV	w[-1]=你	w[0]=就	w[1]=會	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=就	w[0]=會	w[1]=覺得	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=覺得	w[1]=心情	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=覺得	w[0]=心情	w[1]=好多	pos[-1]=Vt	pos[0]=N	pos[1]=DET
DET	w[-1]=心情	w[0]=好多	w[1]=了	pos[-1]=N	pos[0]=DET	pos[1]=T
T	w[-1]=好多	w[0]=了	w[1]=。	pos[-1]=DET	pos[0]=T	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=了	w[0]=。pos[-1]=T	pos[0]=PERIODCATEGORY	__EOS__
